bhat	beta	type
-3.405675e-02	0.000000e+00	2e+00
1.246136e-02	0.000000e+00	1e+00
-6.214807e-02	0.000000e+00	2e+00
5.282107e-03	0.000000e+00	1e+00
3.580097e-02	0.000000e+00	2e+00
-7.572145e-02	0.000000e+00	1e+00
-1.215654e-01	0.000000e+00	2e+00
-2.983225e-03	0.000000e+00	1e+00
4.694909e-02	0.000000e+00	2e+00
3.164128e-02	0.000000e+00	1e+00
-1.362630e-02	0.000000e+00	2e+00
4.660886e-02	0.000000e+00	1e+00
6.359162e-02	0.000000e+00	2e+00
6.669998e-02	0.000000e+00	1e+00
4.232681e-02	0.000000e+00	2e+00
2.839390e-02	0.000000e+00	1e+00
-7.524692e-02	0.000000e+00	2e+00
1.097377e-02	0.000000e+00	1e+00
9.786671e-02	0.000000e+00	2e+00
4.211845e-03	0.000000e+00	1e+00
-9.751841e-02	0.000000e+00	2e+00
3.357825e-02	0.000000e+00	1e+00
3.379053e-02	0.000000e+00	2e+00
2.898190e-02	0.000000e+00	1e+00
1.251898e-01	0.000000e+00	2e+00
-8.248878e-02	0.000000e+00	1e+00
-4.734350e-02	0.000000e+00	2e+00
1.355303e-02	0.000000e+00	1e+00
-3.081124e-02	0.000000e+00	2e+00
-2.240227e-02	0.000000e+00	1e+00
-4.140904e-02	0.000000e+00	2e+00
-4.528405e-02	0.000000e+00	1e+00
-5.041289e-02	0.000000e+00	2e+00
-4.747277e-02	0.000000e+00	1e+00
-4.536792e-02	0.000000e+00	2e+00
-3.819855e-02	0.000000e+00	1e+00
-3.282733e-02	0.000000e+00	2e+00
4.291063e-02	0.000000e+00	1e+00
8.214227e-03	0.000000e+00	2e+00
1.300525e-01	0.000000e+00	1e+00
1.479371e-01	0.000000e+00	2e+00
2.104560e-02	0.000000e+00	1e+00
5.159080e-02	0.000000e+00	2e+00
-5.388874e-02	0.000000e+00	1e+00
2.232925e-02	0.000000e+00	2e+00
5.621752e-03	0.000000e+00	1e+00
-3.506112e-02	0.000000e+00	2e+00
5.404566e-03	0.000000e+00	1e+00
-4.410369e-02	0.000000e+00	2e+00
7.203845e-02	0.000000e+00	1e+00
-1.564300e-02	0.000000e+00	2e+00
-3.739861e-02	0.000000e+00	1e+00
-2.524025e-02	0.000000e+00	2e+00
-3.592979e-02	0.000000e+00	1e+00
-7.006272e-03	0.000000e+00	2e+00
-5.445898e-02	0.000000e+00	1e+00
-1.602343e-02	0.000000e+00	2e+00
1.651556e-02	0.000000e+00	1e+00
2.404923e-02	0.000000e+00	2e+00
-5.511701e-02	0.000000e+00	1e+00
-1.229168e-01	0.000000e+00	2e+00
-3.131448e-02	0.000000e+00	1e+00
5.483557e-02	0.000000e+00	2e+00
2.987886e-02	0.000000e+00	1e+00
1.162499e-02	0.000000e+00	2e+00
-3.136652e-02	0.000000e+00	1e+00
-2.009353e-02	0.000000e+00	2e+00
2.268394e-03	0.000000e+00	1e+00
-2.193773e-02	0.000000e+00	2e+00
4.743746e-02	0.000000e+00	1e+00
3.314303e-02	0.000000e+00	2e+00
-4.188408e-02	0.000000e+00	1e+00
-8.476652e-03	0.000000e+00	2e+00
3.222458e-02	0.000000e+00	1e+00
-3.938548e-03	0.000000e+00	2e+00
8.091555e-02	0.000000e+00	1e+00
5.699234e-02	0.000000e+00	2e+00
3.715477e-02	0.000000e+00	1e+00
1.070446e-01	0.000000e+00	2e+00
-1.018068e-01	0.000000e+00	1e+00
-9.981479e-02	0.000000e+00	2e+00
1.319788e-02	0.000000e+00	1e+00
7.794997e-03	0.000000e+00	2e+00
5.814060e-03	0.000000e+00	1e+00
1.059822e-01	0.000000e+00	2e+00
1.938137e-02	0.000000e+00	1e+00
2.004178e-02	0.000000e+00	2e+00
1.985027e-01	0.000000e+00	1e+00
2.552066e-01	0.000000e+00	2e+00
3.397779e-02	0.000000e+00	1e+00
4.715089e-02	0.000000e+00	2e+00
4.342333e-02	0.000000e+00	1e+00
3.071783e-03	0.000000e+00	2e+00
1.010449e-02	0.000000e+00	1e+00
1.309756e-02	0.000000e+00	2e+00
-1.309793e-02	0.000000e+00	1e+00
-1.062588e-02	0.000000e+00	2e+00
-3.128418e-02	0.000000e+00	1e+00
-1.602227e-02	0.000000e+00	2e+00
-3.672747e-02	0.000000e+00	1e+00
-2.496193e-02	0.000000e+00	2e+00
-1.184607e-02	0.000000e+00	1e+00
-8.176511e-02	0.000000e+00	2e+00
-5.541540e-02	0.000000e+00	1e+00
-3.292087e-02	0.000000e+00	2e+00
-5.575454e-02	0.000000e+00	1e+00
2.068238e-02	0.000000e+00	2e+00
7.088855e-03	0.000000e+00	1e+00
6.405087e-03	0.000000e+00	2e+00
9.239631e-02	0.000000e+00	1e+00
5.634990e-02	0.000000e+00	2e+00
9.907764e-02	0.000000e+00	1e+00
5.885426e-02	0.000000e+00	2e+00
5.344145e-02	0.000000e+00	1e+00
5.522153e-02	0.000000e+00	2e+00
-5.562358e-02	0.000000e+00	1e+00
7.080193e-02	0.000000e+00	2e+00
4.483703e-02	0.000000e+00	1e+00
-7.639496e-03	0.000000e+00	2e+00
-4.143196e-02	0.000000e+00	1e+00
1.225816e-02	0.000000e+00	2e+00
1.080956e-03	0.000000e+00	1e+00
3.818670e-02	0.000000e+00	2e+00
2.095974e-01	0.000000e+00	1e+00
3.477771e-02	0.000000e+00	2e+00
4.325839e-02	0.000000e+00	1e+00
4.896222e-02	0.000000e+00	2e+00
-4.123535e-02	0.000000e+00	1e+00
-8.716075e-02	0.000000e+00	2e+00
-5.903347e-02	0.000000e+00	1e+00
1.229778e-02	0.000000e+00	2e+00
7.905712e-02	0.000000e+00	1e+00
1.017729e-01	0.000000e+00	2e+00
-7.352373e-03	0.000000e+00	1e+00
-2.781079e-02	0.000000e+00	2e+00
-3.982259e-02	0.000000e+00	1e+00
-6.843940e-02	0.000000e+00	2e+00
6.558346e-02	0.000000e+00	1e+00
5.813224e-02	0.000000e+00	2e+00
1.214905e-01	0.000000e+00	1e+00
-1.022917e-02	0.000000e+00	2e+00
1.057196e-01	0.000000e+00	1e+00
4.184602e-02	0.000000e+00	2e+00
4.108758e-04	0.000000e+00	1e+00
2.197118e-02	0.000000e+00	2e+00
3.730665e-02	0.000000e+00	1e+00
4.117844e-02	0.000000e+00	2e+00
5.697348e-02	0.000000e+00	1e+00
-5.571697e-03	0.000000e+00	2e+00
2.138665e-01	0.000000e+00	1e+00
2.054783e-01	0.000000e+00	2e+00
-1.725012e-02	0.000000e+00	1e+00
5.222795e-02	0.000000e+00	2e+00
2.813179e-02	0.000000e+00	1e+00
6.401820e-02	0.000000e+00	2e+00
-5.114797e-02	0.000000e+00	1e+00
-4.583040e-02	0.000000e+00	2e+00
-4.055643e-02	0.000000e+00	1e+00
-6.371601e-02	0.000000e+00	2e+00
-5.851465e-02	0.000000e+00	1e+00
-4.612720e-03	0.000000e+00	2e+00
1.198394e-02	0.000000e+00	1e+00
8.532154e-02	0.000000e+00	2e+00
5.205481e-02	0.000000e+00	1e+00
8.046931e-02	0.000000e+00	2e+00
6.185102e-02	0.000000e+00	1e+00
1.021493e-01	0.000000e+00	2e+00
6.974234e-02	0.000000e+00	1e+00
4.632557e-02	0.000000e+00	2e+00
2.138784e-02	0.000000e+00	1e+00
2.329299e-02	0.000000e+00	2e+00
4.346520e-02	0.000000e+00	1e+00
3.819415e-02	0.000000e+00	2e+00
-1.523096e-02	0.000000e+00	1e+00
-1.858934e-02	0.000000e+00	2e+00
6.344157e-02	0.000000e+00	1e+00
1.116422e-01	0.000000e+00	2e+00
-3.384825e-02	0.000000e+00	1e+00
-5.899151e-02	0.000000e+00	2e+00
-9.833331e-02	0.000000e+00	1e+00
-8.682334e-02	0.000000e+00	2e+00
1.175497e-01	0.000000e+00	1e+00
-1.199910e-03	0.000000e+00	2e+00
-2.475319e-02	0.000000e+00	1e+00
-2.768945e-02	0.000000e+00	2e+00
8.493450e-02	0.000000e+00	1e+00
2.194493e-01	0.000000e+00	2e+00
5.214983e-02	0.000000e+00	1e+00
-7.200253e-04	0.000000e+00	2e+00
4.657899e-02	0.000000e+00	1e+00
7.425840e-02	0.000000e+00	2e+00
-1.206370e-02	0.000000e+00	1e+00
-6.835084e-02	0.000000e+00	2e+00
-4.588931e-02	0.000000e+00	1e+00
-1.117422e-01	0.000000e+00	2e+00
8.579719e-02	0.000000e+00	1e+00
7.965226e-03	0.000000e+00	2e+00
1.564083e-01	0.000000e+00	1e+00
1.677553e-01	0.000000e+00	2e+00
-3.311554e-02	0.000000e+00	1e+00
-1.883070e-02	0.000000e+00	2e+00
-1.352002e-01	0.000000e+00	1e+00
-2.052165e-01	0.000000e+00	2e+00
-3.979819e-02	0.000000e+00	1e+00
-1.194227e-01	0.000000e+00	2e+00
1.227831e-02	0.000000e+00	1e+00
5.506946e-02	0.000000e+00	2e+00
3.305921e-02	0.000000e+00	1e+00
-4.290693e-02	0.000000e+00	2e+00
7.232081e-02	0.000000e+00	1e+00
3.720051e-02	0.000000e+00	2e+00
4.171841e-02	0.000000e+00	1e+00
-2.237853e-02	0.000000e+00	2e+00
-8.890772e-03	0.000000e+00	1e+00
-2.391406e-02	0.000000e+00	2e+00
-1.540518e-03	0.000000e+00	1e+00
-1.154621e-02	0.000000e+00	2e+00
2.068686e-02	0.000000e+00	1e+00
-6.968953e-03	0.000000e+00	2e+00
